employee_id,Age,Basic Pay,No of Clients,Years of Service,Performance Score
1,51,50471,847,39,1
2,40,64571,494,22,1
3,41,61873,36,2,0
4,54,43959,400,26,1
5,37,55412,359,25,1
6,42,35063,566,27,1
7,46,59076,148,16,0
8,44,55627,583,24,1
9,38,47400,717,13,0
10,58,36391,963,35,1
11,45,38049,119,40,0
12,55,30632,263,30,1
13,45,33431,552,26,0
14,50,36292,103,4,0
15,32,21191,748,32,0
16,56,65155,890,20,1
17,28,28311,557,13,0
18,29,20024,917,17,0
19,37,57500,775,36,1
20,33,42777,943,11,1
21,55,43041,946,8,0
22,40,56572,223,23,0
23,36,47647,418,32,1
24,58,62826,345,12,1
25,44,39325,779,1,1
26,54,17701,872,6,1
27,36,65162,110,32,1
28,55,31024,793,31,1
29,35,26353,260,0,1
30,47,27031,223,33,1
31,45,52688,822,2,0
32,47,48813,759,27,0
33,58,66701,267,19,1
34,32,58614,81,13,0
35,29,35523,247,12,1
36,37,40914,630,37,1
37,54,19400,923,2,0
38,41,51498,535,21,1
39,28,60354,533,9,1
40,29,36102,814,1,0
41,35,57462,173,1,0
42,31,39058,817,20,1
43,36,50862,67,13,1
44,44,41641,30,0,1
45,52,30277,659,20,1
46,46,66661,997,5,0
47,58,19086,4,37,1
48,37,28411,13,14,1
49,47,21359,922,22,0
50,44,57328,589,25,0
51,58,29493,36,34,1
52,49,21008,3,7,1
53,25,53923,231,24,0
54,58,65071,294,38,0
55,41,16448,229,23,0
56,59,29933,159,7,0
57,56,26923,456,39,0
58,51,26304,379,11,0
59,30,32104,823,26,1
60,38,26185,854,23,0
61,38,18606,570,36,0
62,53,64603,605,0,1
63,25,31347,607,37,0
64,53,37688,209,40,1
65,26,63815,670,18,0
66,31,37993,650,14,1
67,25,35438,484,12,1
68,42,30009,937,3,0
69,55,21000,798,29,1
70,51,59878,895,1,1
71,43,50066,635,16,1
72,52,20800,729,25,0
73,59,59608,461,4,0
74,35,44187,948,2,0
75,47,27477,185,4,0
76,57,48579,31,6,0
77,33,45148,378,18,1
78,58,65534,406,1,0
79,55,31102,119,27,0
80,32,21789,782,30,1
81,28,46064,409,28,1
82,59,63376,146,7,0
83,46,51920,872,31,0
84,49,30815,37,39,1
85,35,61924,385,38,1
86,46,52662,603,25,0
87,32,32793,605,31,1
88,26,46265,730,32,1
89,32,57062,616,15,1
90,56,36468,350,18,0
91,33,56628,91,10,1
92,48,21743,906,21,1
93,51,66486,253,29,0
94,50,27184,955,39,0
95,31,37518,922,6,0
96,30,35360,842,38,1
97,45,42775,238,29,0
98,48,46864,730,37,0
99,56,44586,950,8,1
100,50,25937,371,32,0
