employee_id,Age,Basic Pay,No of Clients,Years of Service,Performance Score
1,47,25589,598,38,1
2,40,18458,673,28,0
3,28,64750,644,38,1
4,26,28521,29,30,1
5,56,22209,348,37,1
6,27,65339,926,20,1
7,29,59990,547,2,1
8,31,24668,753,3,1
9,34,46120,235,36,1
10,34,63627,365,14,0
11,57,60484,556,26,0
12,28,42759,625,40,0
13,55,44683,492,29,0
14,47,15667,277,13,1
15,41,23073,200,29,0
16,60,19690,572,4,1
17,27,31911,734,30,1
18,35,21811,116,36,0
19,51,39150,70,12,1
20,44,54825,952,1,0
21,42,18245,979,11,0
22,45,36710,555,5,1
23,50,29219,703,28,0
24,45,32538,617,24,1
25,28,42743,254,17,0
26,38,61816,365,24,1
27,33,66815,383,17,1
28,44,35092,536,22,1
29,61,44367,564,11,0
30,28,34224,636,18,1
31,43,64652,776,24,0
32,35,26671,46,1,1
33,26,40873,544,28,1
34,42,59878,261,21,1
35,40,21172,755,35,0
36,44,38894,320,34,1
37,42,65143,122,38,0
38,30,64099,973,6,1
39,45,19554,571,29,0
40,30,24045,509,24,0
41,59,61136,634,29,0
42,52,16400,8,10,0
43,58,53510,325,8,1
44,47,48251,542,22,1
45,27,64960,149,21,0
46,36,48964,638,8,0
47,40,18712,475,21,0
48,39,47709,181,22,1
49,39,57730,160,2,0
50,56,16528,680,24,0
51,31,62098,205,14,0
52,61,52083,453,1,0
53,58,31630,625,3,1
54,60,44364,619,40,0
55,27,56836,96,31,1
56,59,59115,229,36,1
57,58,48692,255,5,0
58,50,61327,357,10,1
59,58,55159,759,16,1
60,49,65815,823,21,1
61,52,28540,303,11,0
62,48,30004,402,22,0
63,58,62273,333,37,0
64,52,36863,409,17,1
65,55,65281,153,8,0
66,60,59285,536,14,0
67,61,35994,645,25,0
68,61,59728,564,5,1
69,31,48447,93,0,1
70,57,48943,14,0,0
71,43,34820,367,0,0
72,51,23151,913,0,1
73,28,19616,931,14,1
74,54,53432,779,31,1
75,40,43794,385,7,1
76,47,64681,279,7,1
77,25,21374,734,9,0
78,31,49268,34,12,1
79,27,25928,422,37,1
80,37,33957,321,4,0
81,42,43051,382,31,1
82,31,15757,612,30,0
83,46,60948,126,23,0
84,62,33609,346,0,1
85,56,34001,753,14,1
86,45,28538,877,37,1
87,36,30010,303,10,0
88,36,22232,847,24,1
89,36,37726,839,34,0
90,30,25090,460,40,0
91,29,38077,361,26,1
92,50,48659,926,19,1
93,25,24706,634,5,1
94,32,35377,677,0,1
95,26,22456,298,1,1
96,34,30941,724,40,1
97,25,44459,343,23,0
98,33,16452,638,12,0
99,38,31185,583,23,1
100,48,51493,570,14,0
