Age,Gender,Income,CityTier,BrowsingTime,PastPurchases,ProductInterest,Purchase
56,Female,142418,Tier3,26.18,15,6,1
69,Male,63088,Tier2,8.11,11,8,1
46,Male,136868,Tier3,5.56,5,8,0
32,Female,123196,Tier2,5.65,19,6,1
60,Male,59811,Tier3,10.69,1,10,0
25,Male,134825,Tier1,7.92,13,3,0
38,Female,75479,Tier3,27.97,3,3,0
56,Male,105392,Tier3,4.07,0,1,0
36,Male,107369,Tier3,21.27,17,7,1
40,Male,137520,Tier3,6.49,12,5,1
28,Female,39963,Tier2,26.57,1,4,1
28,Female,75123,Tier1,28.88,8,10,1
41,Female,145911,Tier3,14.5,1,4,1
53,Male,122468,Tier2,26.49,8,4,0
57,Male,112705,Tier1,1.15,0,6,1
41,Female,93477,Tier1,24.78,10,8,1
20,Male,34388,Tier1,7.63,2,8,1
39,Male,25569,Tier1,27.35,19,5,1
19,Female,89836,Tier3,1.03,3,6,1
41,Female,124573,Tier3,17.13,17,4,0
61,Male,56586,Tier2,22.94,5,9,0
47,Male,147018,Tier2,8.5,2,8,1
55,Male,32015,Tier2,6.6,10,10,1
19,Female,65002,Tier1,3.44,14,10,0
38,Female,136594,Tier1,10.47,4,1,1
50,Female,26254,Tier3,17.24,19,2,1
29,Female,37144,Tier1,4.36,9,9,1
39,Male,44214,Tier1,11.92,11,8,1
61,Female,125654,Tier1,1.26,14,3,1
42,Female,100719,Tier2,24.74,16,8,1
66,Female,91774,Tier2,4.73,9,1,1
44,Female,26090,Tier3,9.22,5,10,0
59,Female,31637,Tier1,1.53,17,4,0
45,Male,42415,Tier1,13.53,12,3,1
33,Male,44071,Tier3,25.36,2,6,0
32,Female,78243,Tier1,12.37,9,7,1
64,Male,130951,Tier1,6.21,13,4,1
68,Female,145827,Tier2,22.86,5,7,1
61,Female,128215,Tier3,23.88,2,9,1
69,Male,61240,Tier3,6.04,15,2,1
20,Male,146146,Tier3,23.35,6,3,1
54,Female,103807,Tier3,28.47,19,5,0
68,Female,121570,Tier2,5.82,13,3,1
24,Female,53434,Tier2,23.36,8,8,1
38,Male,89724,Tier1,21.55,14,10,1
26,Female,135359,Tier1,14.73,2,8,1
56,Female,95697,Tier1,2.68,1,8,1
35,Female,48732,Tier1,3.17,1,9,1
21,Male,141465,Tier2,25.72,2,4,1
42,Female,31314,Tier3,29.71,17,5,1
31,Female,43954,Tier2,20.61,13,5,0
67,Male,77108,Tier1,13.93,19,8,1
26,Female,107044,Tier2,19.78,17,7,1
43,Female,107505,Tier3,18.24,9,9,0
19,Male,131195,Tier3,12.12,1,8,0
37,Female,123081,Tier2,2.9,0,2,1
45,Male,56668,Tier2,24.82,3,10,0
64,Male,43061,Tier2,11.78,13,4,0
24,Female,99252,Tier1,24.74,0,6,1
61,Female,59749,Tier2,8.32,13,2,1
25,Female,149668,Tier2,1.03,15,7,0
64,Female,124680,Tier2,5.61,13,3,1
52,Male,36907,Tier3,14.59,19,3,0
31,Female,38777,Tier3,28.38,2,2,0
34,Male,113229,Tier1,3.96,2,8,0
53,Female,71745,Tier1,25.77,8,6,0
67,Female,128464,Tier3,16.28,5,1,1
57,Female,148077,Tier3,24.95,12,1,0
21,Male,111865,Tier3,9.65,1,7,1
19,Female,132428,Tier2,25.36,7,8,1
23,Female,101818,Tier2,23.41,1,5,1
59,Female,43624,Tier3,7.67,3,5,0
21,Female,43321,Tier2,4.81,14,4,1
46,Male,30488,Tier2,26.17,3,6,1
35,Female,42574,Tier1,28.93,12,6,1
43,Male,25240,Tier3,1.91,11,3,1
61,Male,63221,Tier3,22.21,12,9,0
51,Male,30478,Tier2,27.38,13,7,0
27,Male,148055,Tier3,25.86,19,1,0
53,Male,75645,Tier1,28.97,17,7,1
31,Male,130698,Tier1,23.04,5,5,1
48,Female,39262,Tier1,13.83,10,5,1
65,Male,138831,Tier3,10.05,1,2,0
32,Male,72796,Tier3,10.3,18,4,1
25,Male,24432,Tier3,22.01,18,6,0
31,Female,115257,Tier3,22.63,4,10,1
40,Female,84291,Tier3,6.81,18,7,1
57,Male,99104,Tier1,26.18,1,5,1
38,Female,79399,Tier2,21.73,9,9,1
33,Male,147600,Tier1,17.32,1,3,1
62,Male,99714,Tier3,14.67,10,1,0
35,Female,70428,Tier1,16.75,17,4,1
64,Male,107731,Tier3,5.62,14,9,1
41,Female,145646,Tier3,6.91,8,4,0
43,Female,20302,Tier1,3.64,18,2,1
42,Male,102558,Tier3,5.46,8,10,1
62,Male,20055,Tier2,14.16,2,5,1
58,Female,131317,Tier3,16.38,8,3,1
46,Male,28717,Tier2,1.52,13,9,1
32,Male,147449,Tier2,24.11,18,4,1
62,Male,48699,Tier3,9.53,6,6,0
18,Female,93686,Tier1,27.44,15,2,1
42,Female,87661,Tier2,29.06,15,6,1
24,Male,64247,Tier1,6.38,0,3,1
26,Female,134049,Tier2,14.4,3,9,1
41,Female,36748,Tier3,1.04,3,2,0
18,Female,125113,Tier3,18.35,6,9,1
61,Female,24621,Tier2,18.61,7,5,1
25,Female,35034,Tier3,8.18,16,8,1
41,Male,131927,Tier2,17.19,4,2,1
28,Male,147858,Tier3,7.54,6,6,0
68,Male,25126,Tier1,5.66,19,3,0
34,Female,25122,Tier3,19.89,19,10,1
25,Female,38030,Tier1,10.45,3,5,0
52,Male,102838,Tier3,18.12,5,8,1
52,Female,104717,Tier1,13.56,6,10,1
50,Male,75658,Tier3,29.55,17,1,0
22,Male,58638,Tier1,5.34,4,5,0
59,Male,87067,Tier2,14.47,19,3,0
56,Female,126476,Tier2,20.73,2,4,0
58,Female,138033,Tier1,12.47,6,2,1
45,Male,125977,Tier3,29.27,13,9,1
24,Male,108869,Tier1,21.93,6,3,1
26,Male,125186,Tier3,20.05,4,2,1
25,Male,54674,Tier2,22.95,4,10,1
29,Female,55854,Tier3,28.63,1,9,1
51,Female,66271,Tier2,27.33,5,7,1
50,Male,93688,Tier3,22.0,14,6,1
65,Male,58518,Tier3,22.73,9,1,1
40,Female,131076,Tier3,5.23,6,5,1
41,Female,30267,Tier1,3.98,4,3,0
54,Male,110825,Tier1,17.56,0,1,0
52,Male,21062,Tier2,1.53,12,4,1
61,Male,136664,Tier2,14.99,17,2,1
57,Female,70448,Tier1,7.1,12,2,0
39,Female,115462,Tier2,11.03,17,3,0
44,Female,26229,Tier1,23.5,4,8,0
52,Male,76793,Tier3,28.3,12,8,1
18,Male,134813,Tier2,3.1,3,7,1
52,Female,67915,Tier2,16.49,16,6,1
54,Female,24632,Tier1,26.59,2,9,1
64,Male,124592,Tier2,3.39,16,4,1
31,Female,23596,Tier2,24.91,10,1,1
20,Female,129779,Tier3,11.38,19,8,1
18,Male,26168,Tier2,10.34,3,7,1
22,Female,128099,Tier3,29.35,1,7,0
43,Male,27561,Tier1,6.82,19,3,1
31,Male,93794,Tier2,21.1,15,4,1
56,Male,102152,Tier3,24.82,17,10,1
44,Male,145036,Tier1,2.19,7,9,0
26,Male,144049,Tier2,20.44,2,6,1
32,Male,46734,Tier1,28.59,8,5,0
32,Male,26371,Tier2,4.6,19,3,1
43,Female,138894,Tier1,26.99,5,9,1
59,Male,46069,Tier1,18.25,9,5,0
30,Male,99905,Tier3,18.88,9,5,0
68,Female,32910,Tier1,18.78,12,4,0
49,Female,93479,Tier2,9.67,16,4,0
56,Female,97735,Tier2,28.12,8,1,0
66,Male,101264,Tier3,28.47,16,7,1
69,Female,43275,Tier2,19.13,8,9,1
49,Male,92274,Tier2,23.72,8,3,0
21,Male,101449,Tier2,18.76,0,2,0
47,Male,120776,Tier1,15.05,1,3,1
54,Male,80004,Tier1,20.16,15,1,1
40,Female,82981,Tier2,17.04,0,6,1
56,Female,104659,Tier3,18.33,9,7,0
62,Male,74553,Tier1,23.73,17,2,0
32,Male,68447,Tier3,14.95,7,8,0
60,Male,54529,Tier2,2.18,10,6,0
46,Female,146394,Tier2,5.76,1,4,1
53,Male,95703,Tier1,13.72,7,5,0
30,Male,96090,Tier2,22.02,7,8,1
49,Female,37260,Tier1,18.21,16,3,1
24,Female,132581,Tier2,19.86,14,3,1
68,Male,23812,Tier2,14.9,16,4,0
39,Female,48024,Tier1,18.86,12,1,0
45,Female,78656,Tier1,10.54,18,9,1
19,Male,136148,Tier1,14.64,4,8,1
59,Female,47285,Tier2,22.58,11,8,1
62,Male,112436,Tier2,26.28,0,10,0
23,Female,136421,Tier3,13.58,4,6,1
45,Male,21605,Tier1,2.27,7,7,0
45,Male,91158,Tier2,5.69,12,6,1
61,Male,92303,Tier2,1.6,7,9,0
61,Female,47139,Tier1,19.94,10,3,1
37,Male,97149,Tier3,10.64,0,3,1
47,Female,76138,Tier1,16.73,12,3,0
28,Male,138205,Tier3,15.31,18,10,1
45,Male,96125,Tier2,3.36,2,3,0
42,Female,33918,Tier3,12.69,16,9,0
56,Male,105655,Tier2,7.4,4,4,1
50,Male,47446,Tier1,13.13,19,7,1
18,Female,144040,Tier1,6.9,7,9,1
44,Male,33046,Tier1,25.37,13,7,0
69,Male,149922,Tier3,6.05,3,9,1
30,Male,44818,Tier2,28.86,10,3,0
58,Male,120894,Tier1,13.06,19,4,0
20,Female,135751,Tier1,25.54,14,8,1
56,Female,24324,Tier2,19.23,18,6,0
23,Male,96323,Tier1,22.33,6,5,0
25,Female,29111,Tier2,23.26,18,4,1
44,Male,58110,Tier2,15.64,18,8,1
26,Female,36389,Tier2,16.76,10,1,1
54,Male,142177,Tier2,15.91,4,9,1
50,Male,61427,Tier2,18.05,4,1,1
68,Male,99579,Tier3,1.85,7,8,0
59,Male,48746,Tier1,12.47,9,4,1
61,Male,142883,Tier3,18.58,5,9,1
41,Male,107886,Tier1,18.33,14,5,1
32,Female,127141,Tier3,24.0,15,3,1
49,Male,20117,Tier2,20.0,16,9,1
49,Female,145808,Tier1,29.77,7,9,1
41,Male,132221,Tier1,9.23,7,4,0
58,Female,104471,Tier3,11.42,8,4,0
69,Female,132613,Tier3,12.13,1,8,0
66,Female,33234,Tier1,14.51,14,2,1
66,Male,149597,Tier3,25.24,17,9,1
69,Male,123864,Tier3,7.84,2,6,0
29,Female,73441,Tier3,23.5,16,9,1
56,Male,20846,Tier2,12.75,3,8,0
19,Female,30954,Tier2,18.45,3,7,0
20,Male,99239,Tier3,19.34,13,1,0
