Month,Cupcake
2004-01,6
2004-02,6
2004-03,5
2004-04,6
2004-05,6
2004-06,5
2004-07,5
2004-08,6
2004-09,6
2004-10,9
2004-11,6
2004-12,6
2005-01,6
2005-02,8
2005-03,8
2005-04,7
2005-05,7
2005-06,7
2005-07,7
2005-08,8
2005-09,8
2005-10,12
2005-11,8
2005-12,8
2006-01,9
2006-02,12
2006-03,10
2006-04,12
2006-05,10
2006-06,11
2006-07,10
2006-08,11
2006-09,13
2006-10,15
2006-11,12
2006-12,11
2007-01,13
2007-02,16
2007-03,15
2007-04,15
2007-05,16
2007-06,17
2007-07,17
2007-08,17
2007-09,16
2007-10,23
2007-11,17
2007-12,17
2008-01,18
2008-02,26
2008-03,24
2008-04,24
2008-05,27
2008-06,24
2008-07,24
2008-08,25
2008-09,26
2008-10,32
2008-11,27
2008-12,26
2009-01,28
2009-02,36
2009-03,34
2009-04,35
2009-05,35
2009-06,36
2009-07,37
2009-08,38
2009-09,35
2009-10,45
2009-11,37
2009-12,34
2010-01,37
2010-02,49
2010-03,45
2010-04,47
2010-05,52
2010-06,49
2010-07,57
2010-08,62
2010-09,59
2010-10,67
2010-11,57
2010-12,54
2011-01,58
2011-02,72
2011-03,68
2011-04,76
2011-05,66
2011-06,70
2011-07,71
2011-08,78
2011-09,75
2011-10,85
2011-11,80
2011-12,78
2012-01,77
2012-02,96
2012-03,91
2012-04,93
2012-05,93
2012-06,90
2012-07,87
2012-08,88
2012-09,91
2012-10,95
2012-11,82
2012-12,85
2013-01,83
2013-02,99
2013-03,100
2013-04,87
2013-05,92
2013-06,83
2013-07,90
2013-08,87
2013-09,85
2013-10,99
2013-11,86
2013-12,87
2014-01,85
2014-02,98
2014-03,92
2014-04,88
2014-05,85
2014-06,80
2014-07,82
2014-08,83
2014-09,82
2014-10,90
2014-11,82
2014-12,78
2015-01,72
2015-02,88
2015-03,83
2015-04,75
2015-05,74
2015-06,73
2015-07,75
2015-08,71
2015-09,71
2015-10,78
2015-11,77
2015-12,70
2016-01,66
2016-02,77
2016-03,72
2016-04,66
2016-05,65
2016-06,63
2016-07,61
2016-08,58
2016-09,61
2016-10,69
2016-11,60
2016-12,58
2017-01,58
2017-02,71
2017-03,66
2017-04,62
2017-05,58
2017-06,54
2017-07,54
2017-08,55
2017-09,51
2017-10,63
2017-11,55
2017-12,53
2018-01,48
2018-02,60
2018-03,60
2018-04,51
2018-05,55
2018-06,47
2018-07,48
2018-08,46
2018-09,49
2018-10,55
2018-11,51
2018-12,48
2019-01,53
2019-02,56
2019-03,49
2019-04,50
2019-05,51
2019-06,43
2019-07,42
2019-08,44
2019-09,46
2019-10,52
2019-11,46
2019-12,43
2020-01,41
2020-02,50
2020-03,44
2020-04,58
2020-05,57
2020-06,56
2020-07,50
2020-08,45
2020-09,45
2020-10,51
2020-11,42
2020-12,41
2021-01,42
2021-02,54
2021-03,48
2021-04,45
2021-05,47
2021-06,39
2021-07,41
2021-08,40
2021-09,39
2021-10,45
2021-11,39
2021-12,40
2022-01,38
2022-02,45
2022-03,40
2022-04,43
2022-05,42
2022-06,38
2022-07,36
2022-08,36
2022-09,38
2022-10,39
2022-11,37
2022-12,35
2023-01,35
2023-02,41
2023-03,38
2023-04,39
2023-05,41
2023-06,37
