call_failure,complains,subs_len,charge_amount,seconds_of_use,freq_of_use,freq_of_sms,distinct_call_nums,tariff_plan,status,age,ageGroup,customer_value,Churn
8,0,38,0,4370,71,5,17,1,1,5,1,197.64,0
0,0,39,0,0,5,7,4,1,1,6,1,46.035,0
10,0,37,0,2453,60,359,24,1,1,2,1,1536.52,0
10,0,38,0,4198,66,1,35,1,1,10,1,240.02,0
3,0,32,0,2393,58,2,33,1,1,9,1,145.805,0
11,0,38,1,3775,82,32,0,1,1,15,1,282.28,0
4,0,38,0,2360,39,285,18,1,1,1,1,1235.96,0
13,0,37,2,9115,121,144,43,1,1,15,1,945.44,0
7,0,38,0,13773,169,73.26223776,44,1,1,15,1,557.68,0
7,0,38,1,4515,83,2,25,1,1,11,1,191.92,0
6,0,38,0,5918,95,7,12,1,1,26,2,268.52,0
9,0,38,0,2238,54,8,17,1,1,13,1,123.68,0
25,0,38,3,15140,225,54,32,1,1,0,0,830.6,0
4,0,38,1,3095,27,483,8,1,1,9,1,2056.88,0
9,0,37,0,15485,182,150,30,1,1,0,0,1380.015,0
3,0,37,1,6500,86,186,26,1,1,25,2,1007.44,0
0,0,37,0,875,14,0,11,1,1,7,1,40.005,1
2,0,38,0,710,14,13,8,1,1,9,1,80.96,0
0,0,37,0,0,69.49568828,0,0,1,1,3,1,0,1
3,0,37,0,7508,127,384,43,1,1,12,1,2071.575,0
7,0,37,1,11465,154,11,47,1,1,3,1,317.975,0
8,0,37,1,6718,75,108,37,1,1,0,0,791.685,0
23,1,33,0,955,47,16,17,1,1,11,1,117.09,1
21,1,36,8,10435,93,1,42,2,1,15,1,159.42,0
13,1,36,1,0,98,26,24,1,1,7,1,383.22,1
1,0,34,0,2840,22,0,14,1,1,15,1,114.48,0
9,0,35,0,2990,41,9,16,1,1,14,1,157.24,1
9,1,36,0,2268,44,34,31,1,1,2,1,228.48,1
0,0,36,0,133,2,0,2,1,1,14,1,5.4,1
1,0,36,0,1668,25,0,6,1,1,5,1,67.72,0
3,0,33,1,6785,97,14,22,1,1,1,1,124.23,0
0,1,36,0,628,7,9,4,1,1,0,0,38.375,1
0,0,36,1,338,4,4,2,1,1,0,0,11.13,0
25,0,31,3,16075,238,0,80,2,1,11,1,734.085,0
6,0,34,3,6965,116,271,33,2,1,3,1,1538.145,0
2,0,36,0,3718,82,2,28,1,1,2,1,180,0
3,0,35,0,1665,44,38,20,1,1,4,1,220.36,0
6,0,36,0,2780,53,175,23,1,1,11,1,914.985,0
4,0,32,1,1315,36,193,11,2,1,9,1,929.295,0
4,0,26,0,1568,39,30,68,1,1,2,1,115.175,0
11,0,27,0,700,25,10,7,1,1,5,1,77.625,0
0,0,26,0,825,10,21,3,1,1,15,1,73.375,1
10,0,25,0,1225,32,19,13,1,1,9,1,142.065,0
2,0,25,0,3225,61,8,23,1,1,11,1,163.44,0
2,0,32,0,1695,26,28,14,1,1,2,1,203.445,0
16,0,17,1,6393,141,85,42,2,1,7,1,676.53,0
12,0,15,0,8933,171,73,40,1,1,15,1,410.1,0
8,0,16,3,2853,45,31,19,2,1,2,1,239.92,0
2,0,9,1,4390,40,215,10,1,1,8,1,1037.2,0
3,0,9,1,1488,19,0,7,1,1,12,1,60.28,1
11,0,40,1,4430,74,10,19,1,1,9,1,220.16,0
3,0,41,1,378,8,12,6,1,1,15,1,63.44,0
13,0,39,1,2513,63,364,26,1,1,35,3,1559.04,0
13,0,40,1,4258,69,6,37,1,1,8,1,270.985,0
6,0,40,1,2453,61,7,35,1,1,14,1,144.63,0
14,0,40,2,3835,85,37,30,2,1,11,1,304.8,0
7,0,40,1,2420,42,290,20,1,1,13,1,1258.48,0
16,0,39,3,9175,124,149,45,1,1,15,1,967.96,0
10,0,40,1,13833,172,5,46,1,1,13,1,580.2,0
10,0,40,2,4575,86,7,27,1,1,7,1,214.44,0
9,0,40,1,5978,98,12,14,1,1,12,1,291.04,0
12,0,40,1,2298,57,13,19,1,1,3,1,146.2,0
28,0,40,4,15200,228,59,34,1,1,13,1,853.12,0
7,0,40,2,3155,30,488,10,1,1,4,1,2079.4,0
12,0,39,1,15545,185,155,32,1,1,11,1,1405.35,0
6,0,39,2,6560,89,191,28,1,1,5,1,1029.96,0
3,0,39,1,935,17,5,13,1,1,9,1,65.34,0
5,0,40,1,770,17,18,10,1,1,12,1,103.48,0
3,1,39,1,60,3,5,2,1,1,0,0,25.335,1
6,0,39,1,7568,130,389,45,1,1,2,1,1863.92,0
10,0,39,2,11525,157,16,49,2,1,10,1,332.05,0
11,0,39,2,6778,78,113,39,1,1,7,1,817.02,0
26,1,35,1,1015,50,21,19,1,1,13,1,126.6,1
24,1,38,9,10495,96,6,44,2,1,1,1,167.865,0
16,0,38,2,0,101,31,26,1,1,11,1,408.555,0
4,0,36,1,2900,25,5,16,1,1,11,1,137,0
12,0,37,1,3050,44,14,18,1,1,9,1,179.76,1
12,1,38,1,2328,47,39,33,1,1,14,1,251,1
3,0,38,1,193,5,5,4,1,1,14,1,27.92,1
4,0,38,1,1728,28,5,8,1,1,11,1,56.4,0
6,0,35,2,6845,100,19,24,1,1,11,1,132.675,0
3,0,38,1,688,10,14,6,1,1,14,1,52.45,1
3,0,38,2,398,7,9,4,1,1,0,0,19.575,0
28,0,33,4,16135,241,5,82,1,1,11,1,759.42,0
9,1,36,4,7025,119,276,35,2,1,10,1,1389.76,0
